Jose, Abreu, 348, 89, 27, 1, 12, 23, 7, 6, 1, 0, 0, 0, 4, 0.256, 0.312, 0.443, 0.754, 154, 50.7276439791, 0.714285714286, 0.187, 0.255747126437, 5.20778094082, 0
Ronald, Acuna, 153, 40, 9, 0, 7, 11, 2, 0, 2, 1, 0, 0, 1, 0.261, 0.317, 0.458, 0.775, 70, 23.3346107784, 0.736842105263, 0.197, 0.274509803922, 5.47856079146, 0
Matt, Adams, 176, 51, 8, 0, 13, 18, 2, 0, 0, 0, 0, 0, 0, 0.29, 0.362, 0.557, 0.919, 98, 37.3836734694, 0.944, 0.267, 0.369318181818, 8.07487346939, 1
Ehire, Adrianza, 188, 49, 14, 1, 4, 14, 1, 2, 4, 0, 0, 3, 1, 0.261, 0.314, 0.41, 0.723, 77, 26.1379710145, 0.690647482014, 0.149, 0.244680851064, 4.93514138036, 0
Jesus, Aguilar, 252, 76, 14, 0, 23, 28, 3, 0, 0, 0, 0, 0, 7, 0.302, 0.369, 0.631, 1.0, 159, 62.9824137931, 1.07954545455, 0.329, 0.440476190476, 9.29248728095, 0
Nick, Ahmed, 297, 68, 18, 3, 12, 24, 1, 1, 2, 3, 0, 1, 2, 0.229, 0.287, 0.431, 0.718, 128, 37.8941538462, 0.655172413793, 0.202, 0.279461279461, 4.35379639935, 1
Ozzie, Albies, 389, 111, 29, 3, 18, 19, 4, 0, 9, 3, 0, 1, 2, 0.285, 0.324, 0.514, 0.838, 200, 66.9899277108, 0.814946619217, 0.229, 0.293059125964, 6.36876073307, 1
Jorge, Alfaro, 217, 53, 11, 1, 5, 10, 5, 5, 0, 0, 0, 0, 0, 0.244, 0.293, 0.373, 0.666, 81, 24.5034482759, 0.585365853659, 0.129, 0.175115207373, 4.03410428932, 1
Albert, Almora, 270, 86, 19, 1, 4, 17, 1, 1, 1, 2, 0, 1, 3, 0.319, 0.357, 0.441, 0.798, 119, 44.0206849315, 0.731182795699, 0.122, 0.181481481481, 6.25557101658, 0
Yonder, Alonso, 286, 72, 14, 0, 13, 29, 1, 1, 0, 0, 0, 0, 3, 0.252, 0.32, 0.437, 0.757, 125, 42.878369906, 0.724299065421, 0.185, 0.286713286713, 5.33509671641, 0
Aaron, Altherr, 197, 34, 7, 1, 6, 33, 2, 0, 1, 2, 0, 0, 2, 0.173, 0.295, 0.31, 0.605, 61, 20.518034188, 0.575757575758, 0.137, 0.299492385787, 3.31728696453, 0
Jose, Altuve, 370, 124, 23, 2, 9, 39, 2, 3, 13, 1, 0, 3, 1, 0.335, 0.4, 0.481, 0.882, 178, 77.7399518072, 0.935222672065, 0.146, 0.283783783784, 8.36246493544, 1
Brian, Anderson, 361, 103, 22, 2, 7, 35, 8, 1, 2, 0, 0, 0, 1, 0.285, 0.36, 0.416, 0.776, 150, 58.573037037, 0.755813953488, 0.131, 0.232686980609, 6.10606949807, 1
Tim, Anderson, 317, 78, 11, 2, 13, 23, 4, 1, 21, 4, 0, 1, 1, 0.246, 0.304, 0.416, 0.721, 132, 43.996300578, 0.724279835391, 0.17, 0.296529968454, 4.84857190044, 1
Elvis, Andrus, 134, 33, 6, 1, 2, 11, 2, 0, 0, 1, 0, 0, 1, 0.246, 0.311, 0.351, 0.662, 47, 15.4763513514, 0.578431372549, 0.105, 0.179104477612, 4.05690763579, 1
Miguel, Andujar, 301, 84, 26, 2, 12, 13, 2, 1, 1, 0, 0, 0, 2, 0.279, 0.311, 0.498, 0.81, 150, 48.3169811321, 0.764976958525, 0.219, 0.265780730897, 5.95688808478, 1
Orlando, Arcia, 203, 40, 5, 0, 2, 9, 0, 0, 3, 2, 0, 0, 0, 0.197, 0.231, 0.251, 0.482, 51, 12.1712264151, 0.369696969697, 0.054, 0.103448275862, 1.99165523156, 0
Nolan, Arenado, 324, 100, 19, 2, 23, 47, 0, 4, 2, 1, 0, 0, 3, 0.309, 0.393, 0.593, 0.986, 192, 80.3312299465, 1.06666666667, 0.284, 0.432098765432, 9.51290880946, 1
Harrison, Bader, 181, 49, 6, 1, 6, 15, 4, 2, 9, 2, 0, 1, 0, 0.271, 0.34, 0.414, 0.754, 75, 27.7856716418, 0.753731343284, 0.143, 0.265193370166, 5.55713432836, 0
Javier, Baez, 323, 94, 23, 6, 17, 13, 5, 5, 17, 1, 0, 0, 3, 0.291, 0.326, 0.557, 0.883, 180, 62.5278488372, 0.930434782609, 0.266, 0.356037151703, 7.24571638886, 1
Austin, Barnes, 136, 29, 4, 0, 1, 19, 5, 2, 2, 1, 0, 0, 0, 0.213, 0.331, 0.265, 0.596, 36, 13.897, 0.564814814815, 0.052, 0.198529411765, 3.47425, 1
Tucker, Barnhart, 276, 70, 13, 1, 5, 32, 2, 1, 0, 1, 0, 3, 3, 0.254, 0.332, 0.362, 0.695, 100, 36.4085443038, 0.642512077295, 0.108, 0.221014492754, 4.61516758781, 0
Jose, Bautista, 144, 31, 11, 0, 6, 34, 1, 2, 2, 2, 0, 0, 1, 0.215, 0.367, 0.417, 0.783, 60, 24.9386666667, 0.826086956522, 0.202, 0.4375, 5.80468965517, 1
Tim, Beckham, 144, 31, 6, 0, 2, 11, 0, 0, 1, 1, 0, 0, 1, 0.215, 0.269, 0.299, 0.568, 43, 12.3262820513, 0.473684210526, 0.084, 0.159722222222, 2.89399665552, 1
Josh, Bell, 308, 77, 19, 3, 5, 38, 0, 0, 0, 0, 0, 0, 5, 0.25, 0.328, 0.38, 0.708, 117, 42.4222222222, 0.670995670996, 0.13, 0.253246753247, 4.85338983051, 1
Cody, Bellinger, 324, 78, 20, 4, 17, 40, 1, 1, 5, 0, 0, 0, 2, 0.241, 0.324, 0.485, 0.809, 157, 55.4598365123, 0.825203252033, 0.244, 0.382716049383, 6.0379660719, 1
Brandon, Belt, 281, 85, 16, 1, 13, 40, 4, 6, 2, 0, 0, 0, 2, 0.302, 0.394, 0.505, 0.9, 142, 60.7365137615, 0.959183673469, 0.203, 0.35231316726, 8.28225187656, 1
Adrian, Beltre, 218, 63, 11, 1, 4, 21, 3, 2, 0, 0, 0, 0, 6, 0.289, 0.351, 0.404, 0.754, 88, 33.9720967742, 0.722580645161, 0.115, 0.211009174312, 5.69718393108, 0
Andrew, Benintendi, 342, 102, 25, 5, 14, 49, 1, 1, 17, 1, 0, 0, 5, 0.298, 0.383, 0.523, 0.906, 179, 77.2800503778, 1.01659751037, 0.225, 0.415204678363, 8.48195674879, 1
Mookie, Betts, 283, 98, 25, 1, 22, 42, 5, 4, 16, 2, 0, 0, 3, 0.346, 0.435, 0.675, 1.11, 191, 91.0648048048, 1.34759358289, 0.329, 0.526501766784, 12.9407880512, 1
Charlie, Blackmon, 346, 96, 10, 4, 17, 34, 4, 1, 5, 3, 0, 0, 1, 0.277, 0.348, 0.477, 0.825, 165, 60.4777662338, 0.810276679842, 0.2, 0.303468208092, 6.42873893036, 1
Gregor, Blanco, 120, 29, 4, 3, 1, 8, 0, 0, 3, 2, 0, 1, 0, 0.242, 0.289, 0.35, 0.639, 42, 12.5240310078, 0.548387096774, 0.108, 0.183333333333, 3.59732805542, 0
Xander, Bogaerts, 289, 80, 25, 1, 14, 29, 5, 3, 2, 1, 0, 0, 3, 0.277, 0.35, 0.516, 0.865, 149, 55.3422699387, 0.87619047619, 0.239, 0.342560553633, 7.01521731617, 1
Justin, Bour, 306, 72, 10, 1, 14, 60, 0, 5, 1, 0, 0, 0, 1, 0.235, 0.36, 0.412, 0.771, 126, 50.8361852861, 0.799145299145, 0.177, 0.375816993464, 5.84075320308, 0
Jackie, Bradley, 264, 54, 15, 1, 6, 26, 9, 2, 10, 0, 0, 0, 3, 0.205, 0.295, 0.337, 0.632, 89, 30.749205298, 0.638095238095, 0.132, 0.268939393939, 3.89778658707, 1
Michael, Brantley, 322, 98, 24, 1, 11, 23, 2, 0, 5, 2, 0, 0, 4, 0.304, 0.35, 0.488, 0.838, 157, 57.9765811966, 0.818584070796, 0.184, 0.26397515528, 6.80594648829, 0
Ryan, Braun, 234, 55, 13, 1, 10, 17, 0, 2, 7, 3, 0, 0, 3, 0.235, 0.283, 0.427, 0.711, 100, 29.6374015748, 0.664835164835, 0.192, 0.282051282051, 4.32545860821, 0
Alex, Bregman, 354, 100, 29, 1, 19, 53, 6, 0, 8, 3, 0, 0, 1, 0.282, 0.384, 0.531, 0.915, 188, 78.3843478261, 0.980544747082, 0.249, 0.412429378531, 8.20301314459, 1
Lewis, Brinson, 290, 54, 6, 4, 10, 14, 4, 2, 1, 0, 0, 0, 2, 0.186, 0.232, 0.338, 0.57, 98, 24.0898064516, 0.495762711864, 0.152, 0.203448275862, 2.73287720249, 0
Jay, Bruce, 212, 45, 12, 1, 3, 24, 0, 3, 2, 1, 0, 0, 0, 0.212, 0.292, 0.321, 0.613, 68, 21.4661016949, 0.553571428571, 0.109, 0.22641509434, 3.44990920097, 0
